"Date","Bitcoin market price (USD) 2010-2016"
"2010-08-17",0.077
"2010-08-18",0.074
"2010-08-19",0.069
"2010-08-20",0.067
"2010-08-21",0.067
"2010-08-22",0.066
"2010-08-23",0.066
"2010-08-24",0.067
"2010-08-25",0.067
"2010-08-26",0.066
"2010-08-27",0.065
"2010-08-28",0.065
"2010-08-29",0.065
"2010-08-30",0.069
"2010-08-31",0.065
"2010-09-01",0.065
"2010-09-02",0.063
"2010-09-03",0.063
"2010-09-04",0.061
"2010-09-05",0.063
"2010-09-06",0.064
"2010-09-07",0.062
"2010-09-08",0.062
"2010-09-09",0.062
"2010-09-10",0.062
"2010-09-11",0.062
"2010-09-12",0.065
"2010-09-13",0.062
"2010-09-14",0.064
"2010-09-15",0.175
"2010-09-16",0.062
"2010-09-17",0.061
"2010-09-18",0.061
"2010-09-19",0.063
"2010-09-20",0.063
"2010-09-21",0.063
"2010-09-22",0.063
"2010-09-23",0.063
"2010-09-24",0.063
"2010-09-25",0.062
"2010-09-26",0.062
"2010-09-27",0.062
"2010-09-28",0.063
"2010-09-29",0.062
"2010-09-30",0.062
"2010-10-01",0.062
"2010-10-02",0.062
"2010-10-03",0.061
"2010-10-04",0.062
"2010-10-05",0.063
"2010-10-06",0.063
"2010-10-07",0.064
"2010-10-08",0.088
"2010-10-09",0.12
"2010-10-10",0.12
"2010-10-11",0.13
"2010-10-12",0.099
"2010-10-13",0.095
"2010-10-14",0.105
"2010-10-15",0.119
"2010-10-16",0.109
"2010-10-17",0.105
"2010-10-18",0.103
"2010-10-19",0.102
"2010-10-20",0.103
"2010-10-21",0.109
"2010-10-22",0.107
"2010-10-23",0.109
"2010-10-24",0.19
"2010-10-25",0.15
"2010-10-26",0.19
"2010-10-27",0.19
"2010-10-28",0.19
"2010-10-29",0.191
"2010-10-30",0.192
"2010-10-31",0.199
"2010-11-01",0.198
"2010-11-02",0.196
"2010-11-03",0.275
"2010-11-04",0.236
"2010-11-05",0.24
"2010-11-06",0.29
"2010-11-07",0.5
"2010-11-08",0.37
"2010-11-09",0.337
"2010-11-10",0.267
"2010-11-11",0.24
"2010-11-12",0.251
"2010-11-13",0.3
"2010-11-14",0.299
"2010-11-15",0.283
"2010-11-16",0.283
"2010-11-17",0.28
"2010-11-18",0.29
"2010-11-19",0.283
"2010-11-20",0.289
"2010-11-21",0.29
"2010-11-22",0.282
"2010-11-23",0.288
"2010-11-24",0.283
"2010-11-25",0.283
"2010-11-26",0.289
"2010-11-27",0.284
"2010-11-28",0.285
"2010-11-29",0.279
"2010-11-30",0.275
"2010-12-01",0.225
"2010-12-02",0.25
"2010-12-03",0.255
"2010-12-04",0.259
"2010-12-05",0.235
"2010-12-06",0.225
"2010-12-07",0.226
"2010-12-08",0.248
"2010-12-09",0.239
"2010-12-10",0.204
"2010-12-11",0.228
"2010-12-12",0.228
"2010-12-13",0.227
"2010-12-14",0.23
"2010-12-15",0.247
"2010-12-16",0.246
"2010-12-17",0.255
"2010-12-18",0.249
"2010-12-19",0.25
"2010-12-20",0.275
"2010-12-21",0.269
"2010-12-22",0.267
"2010-12-23",0.25
"2010-12-24",0.25
"2010-12-25",0.25
"2010-12-26",0.27
"2010-12-27",0.265
"2010-12-28",0.28
"2010-12-29",0.301
"2010-12-30",0.3
"2010-12-31",0.3
"2011-01-01",0.3
"2011-01-02",0.3
"2011-01-03",0.3
"2011-01-04",0.3
"2011-01-05",0.299
"2011-01-06",0.299
"2011-01-07",0.322
"2011-01-08",0.323
"2011-01-09",0.323
"2011-01-10",0.329
"2011-01-11",0.329
"2011-01-12",0.35
"2011-01-13",0.405
"2011-01-14",0.45
"2011-01-15",0.4
"2011-01-16",0.4
"2011-01-17",0.4
"2011-01-18",0.387
"2011-01-19",0.34
"2011-01-20",0.368
"2011-01-21",0.44
"2011-01-22",0.43
"2011-01-23",0.444
"2011-01-24",0.443
"2011-01-25",0.425
"2011-01-26",0.425
"2011-01-27",0.417
"2011-01-28",0.45
"2011-01-29",0.446
"2011-01-30",0.48
"2011-01-31",0.5
"2011-02-01",0.95
"2011-02-02",0.84
"2011-02-03",0.75
"2011-02-04",0.88
"2011-02-05",0.917
"2011-02-06",0.92
"2011-02-07",0.906
"2011-02-08",0.9
"2011-02-09",0.935
"2011-02-10",1.1
