"Month", "Monthly expenses by congressman in Brasil 2009-2016"
"2009-07",14023797.11000001
"2009-08",14200877.429999216
"2009-09",14628204.449999258
"2009-10",15118944.819999147
"2009-11",15037283.419999283
"2009-12",19563478.959999472
"2010-01",11612430.549999798
"2010-02",13328568.609999456
"2010-03",17803075.80999908
"2010-04",13245514.629999312
"2010-05",12429966.709999299
"2010-06",12673480.349999242
"2010-07",9939074.999999966
"2010-08",9593196.189999966
"2010-09",8397258.849999992
"2010-10",10949473.109999735
"2010-11",17788366.249999117
"2010-12",21979389.629999544
"2011-01",12063636.259999547
"2011-02",12482671.56999957
"2011-03",13487571.150000159
"2011-04",15306122.520000162
"2011-05",15637539.660000375
"2011-06",16001132.530000601
"2011-07",14230788.960000291
"2011-08",15953091.500000715
"2011-09",15552954.930000655
"2011-10",15405632.340000698
"2011-11",15202952.70000051
"2011-12",16728440.800000532
"2012-01",11996528.170000095
"2012-02",14595475.660000399
"2012-03",15851726.890000409
"2012-04",15546004.640000524
"2012-05",15769374.700000485
"2012-06",14206982.12000028
"2012-07",14234855.620000439
"2012-08",13561274.999999937
"2012-09",12700272.989999862
"2012-10",14661729.219999941
"2012-11",16157464.410000032
"2012-12",17044090.009999897
"2013-01",11859950.530000104
"2013-02",13509431.40000005
"2013-03",15729575.529999886
"2013-04",16867746.210000016
"2013-05",17003617.82000015
"2013-06",16566894.950000226
"2013-07",16166502.300000148
"2013-08",16518224.160000157
"2013-09",17033165.990000125
"2013-10",17625848.84000011
"2013-11",16638988.160000043
"2013-12",19729748.220000073
"2014-01",12744605.41999997
"2014-02",17799544.250000216
"2014-03",18142998.610000305
"2014-04",18954430.320000377
"2014-05",19907732.760000337
"2014-06",13892981.759999976
"2014-07",12492412.389999822
"2014-08",10234271.969999822
"2014-09",9356165.219999816
"2014-10",17513654.51999954
"2014-11",23287963.889999576
"2014-12",28711697.399999965
"2015-01",13079621.489999691
"2015-02",13950859.459999187
"2015-03",18275565.81999898
"2015-04",18039180.38999888
"2015-05",18951551.849998914
"2015-06",18655117.999999054
"2015-07",18422567.789999176
"2015-08",20240092.83999955
"2015-09",20316418.949999865
"2015-10",20070762.599999838
"2015-11",19242524.739999797
"2015-12",23571205.129999593
"2016-01",13545589.329999939
"2016-02",17705183.569999937
"2016-03",21397029.009999346
"2016-04",19442801.609999813
"2016-05",20217228.13999991
"2016-06",18933623.650000177
"2016-07",17465499.20000028
"2016-08",19153772.10999971
